names,Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,REMARK,congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
abby finkenauer,Abby Finkenauer ,Rep,03-Jan-19,RepFinkenauer,RepFinkenauer,RepFinkenauer,RepFinkenauer,,116,House,21918,31,1,IA,100,,,"FINKENAUER, Abby",F000467,1988,,-0.224,0.501,-79.52809,0.90626,808,41,,-0.224,0.501
abigail spanberger,Abigail Spanberger ,Rep,03-Jan-19,RepSpanberger,RepSpanberger,RepSpanberger,RepSpanberger,,116,House,21966,40,7,VA,100,,,"SPANBERGER, Abigail",S001209,1979,,-0.175,0.358,-109.67304,0.87322,809,45,,-0.165,0.429
adam kinzinger,Adam Kinzinger ,Rep,03-Jan-13,RepKinzinger,RepKinzinger,RepKinzinger,RepKinzinger,,116,House,21128,21,16,IL,200,,,"KINZINGER, Adam",K000378,1978,,0.234,0.382,-146.30003,0.82427,757,59,,0.297,0.211
adam schiff,Adam Schiff ,Rep,03-Jan-01,RepAdamSchiff,RepAdamSchiff,RepAdamSchiff,RepAdamSchiff,,116,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.35,-0.133,-14.931,0.98171,809,4,,-0.427,-0.005
adam smith,Adam Smith ,Rep,03-Jan-97,RepAdamSmith,RepAdamSmith,RepAdamSmith,RepAdamSmith,,116,House,29768,73,9,WA,100,,,"SMITH, Adam",S000510,1965,,-0.286,-0.162,-17.95308,0.9777,796,7,,-0.359,-0.216
adrian smith,Adrian Smith ,Rep,03-Jan-07,RepAdrianSmith,RepAdrianSmith,RepAdrianSmith,RepAdrianSmith,,116,House,20729,35,3,NE,200,,,"SMITH, Adrian",S001172,1970,,0.515,0.219,-104.68812,0.8782,806,45,,0.562,0.236
adriano espaillat,Adriano Espaillat ,Rep,03-Jan-17,RepEspaillat,RepEspaillat,RepEspaillat,RepEspaillat,,116,House,21715,13,13,NY,100,,,"ESPAILLAT, Adriano J.",E000297,1954,,-0.611,-0.23,-29.63492,0.96403,809,12,,-0.455,-0.629
al green,Al Green ,Rep,03-Jan-05,RepAlGreen,RepAlGreen,RepAlGreen,RepAlGreen,,116,House,20529,49,9,TX,100,,,"GREEN, Al",G000553,1947,,-0.439,0.294,-29.95391,0.96356,807,16,,-0.42,-0.053
al lawson,Al Lawson ,Rep,03-Jan-17,RepAlLawsonJr,RepAlLawsonJr,RepAlLawsonJr,RepAlLawsonJr,,116,House,21732,43,5,FL,100,,,"LAWSON, Al",L000586,1948,,-0.26,0.076,-35.0294,0.95647,787,15,,-0.262,0.073
alan lowenthal,Alan Lowenthal ,Rep,03-Jan-13,RepLowenthal,RepLowenthal,RepLowenthal,RepLowenthal,,116,House,21313,71,47,CA,100,,,"LOWENTHAL, Alan",L000579,1941,,-0.449,-0.384,-16.31742,0.98003,809,4,,-0.482,-0.52
albio sires,Albio Sires ,Rep,03-Jan-13,RepSires,RepSires,RepSires,RepSires,,116,House,20542,12,8,NJ,100,,,"SIRES, Albio",S001165,1951,,-0.404,0.098,-14.33639,0.98193,786,4,,-0.422,0.111
alcee hastings,Alcee Hastings ,Rep,03-Jan-93,RepHastingsFL,RepHastingsFL,RepHastingsFL,RepHastingsFL,,116,House,29337,43,20,FL,100,,,"HASTINGS, Alcee Lamar",H000324,1936,2021,-0.564,0.157,-14.78068,0.97652,622,4,,-0.54,0.212
alex mooney,Alex Mooney ,Rep,03-Jan-15,RepAlexMooney,RepAlexMooney,RepAlexMooney,RepAlexMooney,,116,House,21557,56,2,WV,200,,,"MOONEY, Alex",M001195,1971,,0.554,-0.194,-167.76301,0.8123,807,68,,0.581,-0.283
alexandria ocasio-cortez,Alexandria Ocasio-Cortez ,Rep,03-Jan-19,RepAOC,RepAOC,RepAOC,RepAOC,,116,House,21949,13,14,NY,100,,,"OCASIO-CORTEZ, Alexandria",O000172,1989,,-0.26,-0.966,-67.14866,0.91997,805,29,,-0.222,-0.975
alma adams,Alma Adams ,Rep,04-Nov-14,RepAdams,RepAdams,RepAdams,RepAdams,,116,House,21545,47,12,NC,100,,,"ADAMS, Alma",A000370,1946,,-0.467,0.025,-15.23015,0.98083,787,5,,-0.429,-0.061
amata radewagen,Amata Coleman Radewagen,Rep,03-Jan-15,RepAmata,RepAmata,RepAmata,RepAmata,,116,House,21995,93,0,AS,200,,,"RADEWAGEN, Amata",R000600,1947,,0.413,0.014,-14.63548,0.78355,60,6,,0.413,0.014
ami bera,Ami Bera ,Rep,03-Jan-13,RepBera,RepBera,RepBera,RepBera,,116,House,21304,71,7,CA,100,,,"BERA, Ami",B001287,1965,,-0.236,0.014,-29.4417,0.9643,810,11,,-0.363,0.303
andra carson,Andra Carson ,Rep,11-Mar-08,RepAndreCarson,RepAndreCarson,RepAndreCarson,RepAndreCarson,,116,House,20757,22,7,IN,100,,,"CARSON, Andra",C001072,1974,,-0.429,0.055,-40.26004,0.95128,806,12,,-0.548,0.289
andy barr,Andy Barr ,Rep,03-Jan-13,RepAndyBarr,RepAndyBarr,RepAndyBarr,RepAndyBarr,,116,House,21333,51,6,KY,200,,,"BARR, Andy",B001282,1973,,0.476,0.325,-103.35527,0.8778,793,44,,0.497,0.293
andy biggs,Andy Biggs ,Rep,03-Jan-17,RepAndyBiggsAZ,RepAndyBiggsAZ,RepAndyBiggsAZ,RepAndyBiggsAZ,,116,House,21705,61,5,AZ,200,,,"BIGGS, Andy",B001302,1958,,0.839,-0.544,-94.80572,0.88745,794,32,,1,-0.03
andy harris,Andy Harris ,Rep,03-Jan-11,RepAndyHarrisMD,RepAndyHarrisMD,RepAndyHarrisMD,RepAndyHarrisMD,,116,House,21139,52,1,MD,200,,,"HARRIS, Andy",H001052,1957,,0.673,-0.396,-145.03753,0.83266,792,58,,0.749,-0.398
andy kim,Andy Kim ,Rep,03-Jan-19,RepAndyKimNJ,RepAndyKimNJ,RepAndyKimNJ,RepAndyKimNJ,,116,House,21937,12,3,NJ,100,,,"KIM, Andy",K000394,1982,,-0.303,0.321,-56.13262,0.93313,811,21,,-0.273,0.398
andy levin,Andy Levin ,Rep,03-Jan-19,RepAndyLevin,RepAndyLevin,RepAndyLevin,RepAndyLevin,,116,House,21940,23,9,MI,100,,,"LEVIN, Andy",L000592,1960,,-0.474,-0.563,-16.7619,0.97949,809,6,,-0.534,-0.549
angie craig,Angie Craig ,Rep,03-Jan-19,RepAngieCraig,RepAngieCraig,RepAngieCraig,RepAngieCraig,,116,House,21910,33,2,MN,100,,,"CRAIG, Angie",C001119,1972,,-0.281,0.668,-77.6149,0.90873,811,25,,-0.311,0.708
ann kirkpatrick,Ann Kirkpatrick ,Rep,03-Jan-19,RepKirkpatrick,RepKirkpatrick,RepKirkpatrick,RepKirkpatrick,,116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.169,-0.01,-45.98655,0.93762,714,18,,-0.369,0.401
ann kuster,Ann McLane Kuster,Rep,03-Jan-13,RepAnnieKuster,RepAnnieKuster,RepAnnieKuster,RepAnnieKuster,,116,House,21340,4,2,NH,100,,,"KUSTER, Ann McLane",K000382,1956,,-0.259,-0.103,-27.59053,0.96602,798,8,,-0.332,0.092
ann wagner,Ann Wagner ,Rep,03-Jan-13,RepAnnWagner,RepAnnWagner,RepAnnWagner,RepAnnWagner,,116,House,21337,34,2,MO,200,,,"WAGNER, Ann",W000812,1962,,0.422,0.167,-134.62473,0.84259,786,58,,0.391,0.132
anna eshoo,Anna Eshoo ,Rep,03-Jan-13,RepAnnaEshoo,RepAnnaEshoo,RepAnnaEshoo,RepAnnaEshoo,,116,House,29312,71,18,CA,100,,,"ESHOO, Anna Georges",E000215,1942,,-0.38,-0.412,-13.55811,0.98296,789,6,,-0.395,-0.213
anthony brindisi,Anthony Brindisi ,Rep,03-Jan-19,RepBrindisi,RepBrindisi,RepBrindisi,RepBrindisi,,116,House,21904,13,22,NY,100,,,"BRINDISI, Anthony",B001308,1978,,-0.154,0.567,-136.69953,0.84418,807,45,,-0.154,0.568
anthony brown,Anthony G. Brown,Rep,03-Jan-17,RepAnthonyBrown,RepAnthonyBrown,RepAnthonyBrown,RepAnthonyBrown,,116,House,21707,52,4,MD,100,,,"BROWN, Anthony G.",B001304,1961,,-0.344,-0.063,-35.44179,0.95672,801,13,,-0.307,-0.065
anthony gonzalez,Anthony Gonzalez ,Rep,03-Jan-19,RepAGonzalez,RepAGonzalez,RepAGonzalez,RepAGonzalez,,116,House,21924,24,16,OH,200,,,"GONZALEZ, Anthony",G000588,1984,,0.24,0.315,-118.1166,0.8629,801,41,,0.285,0.245
antonio delgado,Antonio Delgado ,Rep,03-Jan-19,repdelgado,repdelgado,repdelgado,repdelgado,,116,House,21916,13,19,NY,100,,,"DELGADO, Antonio",D000630,1977,,-0.233,0.277,-59.37012,0.92941,811,17,,-0.216,0.2
austin scott,Austin Scott ,Rep,03-Jan-11,AustinScottGA08,AustinScottGA08,AustinScottGA08,AustinScottGA08,,116,House,21123,44,8,GA,200,,,"SCOTT, Austin",S001189,1969,,0.561,0.224,-95.06425,0.88635,788,36,,0.56,0.353
ayanna pressley,Ayanna Pressley ,Rep,03-Jan-19,RepPressley,RepPressley,RepPressley,RepPressley,,116,House,21955,3,7,MA,100,,,"PRESSLEY, Ayanna",P000617,1974,,-0.332,-0.943,-43.76376,0.94683,801,24,,-0.29,-0.957
barbara lee,Barbara Lee ,Rep,21-Apr-98,RepBarbaraLee,RepBarbaraLee,RepBarbaraLee,RepBarbaraLee,,116,House,29778,71,13,CA,100,,,"LEE, Barbara",L000551,1946,,-0.68,-0.58,-25.73999,0.96841,802,11,,-0.545,-0.828
barry loudermilk,Barry Loudermilk ,Rep,03-Jan-15,RepLoudermilk,RepLoudermilk,RepLoudermilk,RepLoudermilk,,116,House,21515,44,11,GA,200,,,"LOUDERMILK, Barry D.",L000583,1963,,0.684,-0.016,-80.98674,0.8906,699,30,,0.715,0.133
ben cline,Ben Cline ,Rep,03-Jan-19,RepBenCline,RepBenCline,RepBenCline,RepBenCline,,116,House,21908,40,6,VA,200,,,"CLINE, Ben",C001118,1972,,0.718,-0.192,-124.30188,0.8579,811,53,,0.703,-0.184
ben mcadams,Ben McAdams ,Rep,03-Jan-19,RepBenMcAdams,RepBenMcAdams,RepBenMcAdams,RepBenMcAdams,,116,House,21943,67,4,UT,100,,,"McADAMS, Ben",M001209,1974,,-0.069,0.294,-222.21133,0.75982,809,87,,-0.069,0.294
ben lujan,Ben Ray Lujan,Rep,03-Jan-09,RepBenRayLujan,RepBenRayLujan,RepBenRayLujan,RepBenRayLujan,,116,House,20932,66,3,NM,100,,,"Lujan, Ben Ray",L000570,1972,,-0.368,0.015,-25.92854,0.96842,808,13,,-0.31,-0.224
bennie thompson,Bennie Thompson ,Rep,13-Apr-93,BennieGThompson,BennieGThompson,BennieGThompson,BennieGThompson,,116,House,29368,46,2,MS,100,,,"THOMPSON, Bennie",T000193,1948,,-0.516,0.397,-24.44239,0.96942,787,10,,-0.553,0.224
betty mccollum,Betty McCollum ,Rep,03-Jan-01,BettyMcCollum04,BettyMcCollum04,BettyMcCollum04,BettyMcCollum04,,116,House,20122,33,4,MN,100,,,"McCOLLUM, Betty",M001143,1954,,-0.417,-0.184,-25.98926,0.96842,810,7,,-0.458,-0.078
bill flores,Bill Flores ,Rep,03-Jan-11,RepBillFlores,RepBillFlores,RepBillFlores,RepBillFlores,,116,House,21182,49,17,TX,200,,,"FLORES, Bill",F000461,1954,,0.572,0.293,-108.65018,0.87044,783,40,,0.519,0.198
bill foster,Bill Foster ,Rep,03-Jan-13,RepBillFoster,RepBillFoster,RepBillFoster,RepBillFoster,,116,House,20749,21,11,IL,100,,,"FOSTER, Bill",F000454,1955,,-0.231,-0.222,-26.34306,0.96753,798,5,,-0.414,0.107
bill huizenga,Bill Huizenga ,Rep,03-Jan-11,RepHuizenga,RepHuizenga,RepHuizenga,RepHuizenga,,116,House,21142,23,2,MI,200,,,"HUIZENGA, Bill",H001058,1969,,0.555,-0.017,-146.08325,0.83117,790,55,,0.493,-0.034
bill johnson,Bill Johnson ,Rep,03-Jan-11,RepBillJohnson,RepBillJohnson,RepBillJohnson,RepBillJohnson,,116,House,21162,24,6,OH,200,,,"JOHNSON, Bill",J000292,1954,,0.422,0.275,-76.59725,0.90826,796,34,,0.426,0.424
bill keating,Bill Keating ,Rep,03-Jan-11,USRepKeating,USRepKeating,USRepKeating,USRepKeating,,116,House,21140,3,9,MA,100,,,"KEATING, Bill",K000375,1952,,-0.33,-0.116,-30.39031,0.96259,797,10,,-0.367,0.01
bill pascrell,Bill Pascrell ,Rep,03-Jan-13,BillPascrell,BillPascrell,BillPascrell,BillPascrell,,116,House,29741,12,9,NJ,100,,,"PASCRELL, Bill",P000096,1937,,-0.367,-0.007,-23.37618,0.97134,804,6,,-0.353,-0.183
bill posey,Bill Posey ,Rep,03-Jan-09,CongBillPosey,CongBillPosey,CongBillPosey,CongBillPosey,,116,House,20909,43,8,FL,200,,,"POSEY, Bill",P000599,1947,,0.525,-0.331,-182.99988,0.79438,795,86,,0.538,-0.344
billy long,Billy Long ,Rep,03-Jan-11,USRepLong,USRepLong,USRepLong,USRepLong,,116,House,21150,34,7,MO,200,,,"LONG, Billy",L000576,1955,,0.544,0.244,-126.26261,0.85383,799,52,,0.552,0.02
blaine luetkemeyer,Blaine Luetkemeyer ,Rep,03-Jan-13,RepBlaine,RepBlaine,RepBlaine,RepBlaine,,116,House,20926,34,3,MO,200,,,"LUETKEMEYER, Blaine",L000569,1952,,0.445,0.259,-103.12197,0.8792,801,48,,0.391,0.459
bob gibbs,Bob Gibbs ,Rep,03-Jan-13,RepBobGibbs,RepBobGibbs,RepBobGibbs,RepBobGibbs,,116,House,21165,24,7,OH,200,,,"GIBBS, Bob",G000563,1954,,0.484,0.284,-92.65039,0.88827,782,34,,0.506,0.465
bob latta,Bob Latta ,Rep,11-Dec-07,boblatta,boblatta,boblatta,boblatta,,116,House,20755,24,5,OH,200,,,"LATTA, Bob",L000566,1956,,0.513,0.272,-64.42565,0.92354,810,17,,0.511,0.337
bobby rush,Bobby Rush ,Rep,03-Jan-93,RepBobbyRush,RepBobbyRush,RepBobbyRush,RepBobbyRush,,116,House,29346,21,1,IL,100,,,"RUSH, Bobby L.",R000515,1946,,-0.479,-0.203,-23.64154,0.97003,777,6,,-0.48,-0.16
bobby scott,Bobby Scott ,Rep,03-Jan-93,BobbyScott,BobbyScott,BobbyScott,BobbyScott,,116,House,39307,40,3,VA,100,,,"SCOTT, Bobby",S000185,1947,,-0.45,0.015,-38.89379,0.95312,810,14,,-0.38,0.125
bonnie coleman,Bonnie Watson Coleman,Rep,03-Jan-15,RepBonnie,RepBonnie,RepBonnie,RepBonnie,,116,House,21538,12,12,NJ,100,,,"COLEMAN, Bonnie",W000822,1945,,-0.616,-0.177,-49.05431,0.94102,807,19,,-0.463,-0.159
brad schneider,Brad Schneider ,Rep,03-Jan-17,repschneider,repschneider,repschneider,repschneider,,116,House,21326,21,10,IL,100,,,"SCHNEIDER, Brad",S001190,1961,,-0.182,-0.149,-35.20125,0.95727,806,8,,-0.295,0.024
brad sherman,Brad Sherman ,Rep,03-Jan-97,BradSherman,BradSherman,BradSherman,BradSherman,,116,House,29707,71,30,CA,100,,,"SHERMAN, Brad",S000344,1954,,-0.343,-0.143,-20.98211,0.97398,796,11,,-0.454,0.067
brad wenstrup,Brad Wenstrup ,Rep,03-Jan-13,RepBradWenstrup,RepBradWenstrup,RepBradWenstrup,RepBradWenstrup,,116,House,21351,24,2,OH,200,,,"WENSTRUP, Brad",W000815,1958,,0.53,0.232,-91.49084,0.89038,788,35,,0.517,0.244
bradley byrne,Bradley Byrne ,Rep,08-Jan-14,RepByrne,RepByrne,RepByrne,RepByrne,,116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.61,0.25,-107.81607,0.85611,694,42,,0.702,0.194
brenda lawrence,Brenda Lawrence ,Rep,03-Jan-15,RepLawrence,RepLawrence,RepLawrence,RepLawrence,,116,House,21530,23,14,MI,100,,,"LAWRENCE, Brenda L",L000581,1954,,-0.448,-0.039,-13.23385,0.98322,782,4,,-0.467,0.032
brendan boyle,Brendan Boyle ,Rep,03-Jan-15,CongBoyle,CongBoyle,CongBoyle,CongBoyle,,116,House,21548,14,2,PA,100,,,"BOYLE, Brendan Francis",B001296,1977,,-0.399,0.131,-35.87476,0.95631,803,15,,-0.392,-0.186
brett guthrie,Brett Guthrie ,Rep,03-Jan-09,RepGuthrie,RepGuthrie,RepGuthrie,RepGuthrie,,116,House,20916,51,2,KY,200,,,"GUTHRIE, Brett",G000558,1964,,0.42,0.288,-72.73241,0.9133,802,28,,0.442,0.455
brian babin,Brian Babin ,Rep,03-Jan-15,RepBrianBabin,RepBrianBabin,RepBrianBabin,RepBrianBabin,,116,House,21551,49,36,TX,200,,,"BABIN, Brian",B001291,1948,,0.71,0.088,-111.57073,0.8656,773,50,,0.708,0.03
brian fitzpatrick,Brian Fitzpatrick ,Rep,03-Jan-17,repbrianfitz,repbrianfitz,repbrianfitz,repbrianfitz,,116,House,21718,14,1,PA,200,,,"FITZPATRICK, Brian K.",F000466,1973,,0.157,-0.188,-174.10328,0.80486,802,73,,0.146,-0.124
brian higgins,Brian Higgins ,Rep,03-Jan-13,RepBrianHiggins,RepBrianHiggins,RepBrianHiggins,RepBrianHiggins,,116,House,20519,13,26,NY,100,,,"HIGGINS, Brian",H001038,1959,,-0.349,-0.033,-18.2437,0.97751,802,7,,-0.385,-0.034
brian mast,Brian Mast ,Rep,03-Jan-17,repbrianmast,repbrianmast,repbrianmast,repbrianmast,,116,House,21735,43,18,FL,200,,,"MAST, Brian",M001199,1980,,0.466,-0.392,-210.45996,0.76246,776,94,,0.455,-0.369
bruce westerman,Bruce Westerman ,Rep,03-Jan-15,RepWesterman,RepWesterman,RepWesterman,RepWesterman,,116,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.548,0.358,-76.80828,0.90802,796,30,,0.557,0.395
bryan steil,Bryan Steil ,Rep,03-Jan-19,RepBryanSteil,RepBryanSteil,RepBryanSteil,RepBryanSteil,,116,House,21970,25,1,WI,200,,,"STEIL, Bryan",S001213,1981,,0.415,0.032,-137.49358,0.84227,801,62,,0.421,-0.061
buddy carter,Buddy Carter ,Rep,03-Jan-15,RepBuddyCarter,RepBuddyCarter,RepBuddyCarter,RepBuddyCarter,,116,House,21513,44,1,GA,200,,,"CARTER, Buddy",C001103,1957,,0.558,0.302,-99.57682,0.88269,798,37,,0.596,0.179
carol miller,Carol Miller ,Rep,03-Jan-19,RepCarolMiller,RepCarolMiller,RepCarolMiller,RepCarolMiller,,116,House,21946,56,3,WV,200,,,"MILLER, Carol",M001205,1950,,0.481,0.324,-84.0524,0.90027,800,33,,0.469,0.299
carolyn maloney,Carolyn Maloney ,Rep,03-Jan-93,RepMaloney,RepMaloney,RepMaloney,RepMaloney,,116,House,29379,13,12,NY,100,,,"MALONEY, Carolyn Bosher",M000087,1946,,-0.387,-0.285,-21.73659,0.97346,808,9,,-0.416,-0.42
cathy rodgers,Cathy McMorris Rodgers,Rep,03-Jan-05,CathyMcMorris,CathyMcMorris,CathyMcMorris,CathyMcMorris,,116,House,20535,73,5,WA,200,,,"RODGERS, Cathy",M001159,1969,,0.422,0.134,-124.39647,0.85397,788,55,,0.409,-0.016
cedric richmond,Cedric Richmond ,Rep,03-Jan-11,RepRichmond,RepRichmond,RepRichmond,RepRichmond,,116,House,21137,45,2,LA,100,,,"RICHMOND, Cedric",R000588,1973,,-0.486,0.332,-40.67477,0.94742,753,15,,-0.657,0.462
charlie crist,Charlie Crist ,Rep,03-Jan-17,repcharliecrist,repcharliecrist,repcharliecrist,repcharliecrist,,116,House,21712,43,13,FL,100,,,"CRIST, Charlie",C001111,1956,,-0.227,0.079,-33.59071,0.95933,809,15,,-0.29,0.282
chellie pingree,Chellie Pingree ,Rep,03-Jan-09,ChelliePingree,ChelliePingree,ChelliePingree,ChelliePingree,,116,House,20920,2,1,ME,100,,,"PINGREE, Chellie",P000597,1955,,-0.42,-0.374,-17.77013,0.97803,800,8,,-0.427,-0.328
cheri bustos,Cheri Bustos ,Rep,03-Jan-13,RepCheri,RepCheri,RepCheri,RepCheri,,116,House,21329,21,17,IL,100,,,"BUSTOS, Cheri",B001286,1961,,-0.239,0.054,-27.8776,0.96617,810,8,,-0.299,0.196
chip roy,Chip Roy ,Rep,03-Jan-19,RepChipRoy,RepChipRoy,RepChipRoy,RepChipRoy,,116,House,21961,49,21,TX,200,,,"ROY, Chip",R000614,1972,,0.8,-0.6,-139.01887,0.8392,793,54,,0.919,-0.395
chris collins,Chris Collins ,Rep,03-Jan-13,RepChrisCollins,RepChrisCollins,RepChrisCollins,RepChrisCollins,,116,House,21345,13,27,NY,200,,,"COLLINS, Chris",C001092,1950,,0.357,0.236,-61.83374,0.87498,463,22,,0.328,0.316
chris pappas,Chris Pappas ,Rep,03-Jan-19,RepChrisPappas,RepChrisPappas,RepChrisPappas,RepChrisPappas,,116,House,21951,4,1,NH,100,,,"PAPPAS, Chris",P000614,1980,,-0.265,0.363,-54.46106,0.93497,810,23,,-0.299,0.322
chris stewart,Chris Stewart ,Rep,03-Jan-13,RepChrisStewart,RepChrisStewart,RepChrisStewart,RepChrisStewart,,116,House,21367,67,2,UT,200,,,"STEWART, Chris",S001192,1960,,0.502,0.165,-93.1975,0.88859,789,41,,0.535,0.266
chrissy houlahan,Chrissy Houlahan ,Rep,03-Jan-19,RepHoulahan,RepHoulahan,RepHoulahan,RepHoulahan,,116,House,21934,14,6,PA,100,,,"HOULAHAN, Chrissy",H001085,1967,,-0.278,0.389,-45.18099,0.94568,809,18,,-0.312,0.549
christopher smith,Christopher Smith ,Rep,03-Jan-81,RepChrisSmith,RepChrisSmith,RepChrisSmith,RepChrisSmith,,116,House,14863,12,4,NJ,200,,,"SMITH, Christopher",S000522,1953,,0.172,-0.165,-202.12156,0.77043,775,89,,0.2,-0.122
chuck fleischmann,Chuck Fleischmann ,Rep,03-Jan-11,RepChuck,RepChuck,RepChuck,RepChuck,,116,House,21178,54,3,TN,200,,,"FLEISCHMANN, Chuck",F000459,1962,,0.465,0.274,-97.84786,0.88634,811,47,,0.411,0.42
cindy axne,Cindy Axne ,Rep,03-Jan-19,RepCindyAxne,RepCindyAxne,RepCindyAxne,RepCindyAxne,,116,House,21902,31,3,IA,100,,,"AXNE, Cindy",A000378,1965,,-0.25,0.528,-80.08022,0.90452,798,37,,-0.239,0.568
clay higgins,Clay Higgins ,Rep,03-Jan-17,RepClayHiggins,RepClayHiggins,RepClayHiggins,RepClayHiggins,,116,House,21724,45,3,LA,200,,,"HIGGINS, Clay",H001077,1961,,0.622,-0.315,-141.15331,0.82397,729,68,,0.587,-0.217
colin allred,Colin Allred ,Rep,03-Jan-19,RepColinAllred,RepColinAllred,RepColinAllred,RepColinAllred,,116,House,21900,49,32,TX,100,,,"ALLRED, Colin",A000376,1983,,-0.443,0.752,-42.32536,0.94803,793,20,,-0.448,0.613
conor lamb,Conor Lamb ,Rep,12-Apr-18,RepConorLamb,RepConorLamb,RepConorLamb,RepConorLamb,,116,House,21756,14,17,PA,100,,,"LAMB, Conor",L000588,1984,,-0.143,0.212,-119.40512,0.86231,806,61,,-0.14,0.297
dan crenshaw,Dan Crenshaw ,Rep,03-Jan-19,RepDanCrenshaw,RepDanCrenshaw,RepDanCrenshaw,RepDanCrenshaw,,116,House,21911,49,2,TX,200,,,"CRENSHAW, Dan",C001120,1984,,0.429,0.21,-89.86499,0.89362,799,38,,0.397,0.364
dan kildee,Dan Kildee ,Rep,03-Jan-13,RepDanKildee,RepDanKildee,RepDanKildee,RepDanKildee,,116,House,21372,23,5,MI,100,,,"KILDEE, Dan",K000380,1958,,-0.389,-0.203,-17.95999,0.9781,811,6,,-0.489,-0.305
dan lipinski,Dan Lipinski ,Rep,03-Jan-05,RepLipinski,RepLipinski,RepLipinski,RepLipinski,,116,House,20508,21,3,IL,100,,,"LIPINSKI, Dan",L000563,1966,,-0.227,0.176,-109.5829,0.87002,787,33,,-0.146,0.05
dan meuser,Dan Meuser ,Rep,03-Jan-19,RepMeuser,RepMeuser,RepMeuser,RepMeuser,,116,House,21945,14,9,PA,200,,,"MEUSER, Dan",M001204,1964,,0.497,0.256,-101.63751,0.87724,776,51,,0.559,0.414
dan newhouse,Dan Newhouse ,Rep,03-Jan-15,RepNewhouse,RepNewhouse,RepNewhouse,RepNewhouse,,116,House,21556,73,4,WA,200,,,"NEWHOUSE, Dan",N000189,1955,,0.329,0.286,-100.97586,0.87973,788,45,,0.331,0.282
daniel webster,Daniel Webster ,Rep,03-Jan-11,RepWebster,RepWebster,RepWebster,RepWebster,,116,House,21116,43,11,FL,200,,,"WEBSTER, Daniel",W000806,1949,,0.527,-0.094,-158.34421,0.81148,758,84,,0.56,-0.155
danny davis,Danny K. Davis,Rep,03-Jan-97,RepDannyDavis,RepDannyDavis,RepDannyDavis,RepDannyDavis,,116,House,29717,21,7,IL,100,,,"DAVIS, Danny K.",D000096,1941,,-0.487,-0.266,-15.76209,0.98025,790,3,,-0.483,-0.316
darin lahood,Darin LaHood ,Rep,10-Sep-15,RepLaHood,RepLaHood,RepLaHood,RepLaHood,,116,House,21562,21,18,IL,200,,,"LaHOOD, Darin",L000585,1968,,0.461,0.208,-92.51195,0.88762,776,35,,0.473,0.284
darren soto,Darren Soto ,Rep,03-Jan-17,RepDarrenSoto,RepDarrenSoto,RepDarrenSoto,RepDarrenSoto,,116,House,21746,43,9,FL,100,,,"SOTO, Darren Michael",S001200,1978,,-0.374,0.152,-19.30476,0.97616,800,6,,-0.363,0.008
dave loebsack,Dave Loebsack ,Rep,03-Jan-07,DaveLoebsack,DaveLoebsack,DaveLoebsack,DaveLoebsack,,116,House,20720,31,2,IA,100,,,"LOEBSACK, Dave",L000565,1952,,-0.276,-0.027,-28.98965,0.96415,794,8,,-0.3,0.214
david cicilline,David Cicilline ,Rep,03-Jan-11,RepCicilline,RepCicilline,RepCicilline,RepCicilline,,116,House,21172,5,1,RI,100,,,"CICILLINE, David N.",C001084,1961,,-0.389,-0.265,-23.36474,0.97129,802,8,,-0.428,-0.136
david joyce,David Joyce ,Rep,03-Jan-13,RepDaveJoyce,RepDaveJoyce,RepDaveJoyce,RepDaveJoyce,,116,House,21353,24,14,OH,200,,,"JOYCE, David",J000295,1957,,0.261,0.273,-110.10799,0.87097,797,39,,0.284,0.248
david kustoff,David Kustoff ,Rep,03-Jan-17,repdavidkustoff,repdavidkustoff,repdavidkustoff,repdavidkustoff,,116,House,21731,54,8,TN,200,,,"KUSTOFF, David",K000392,1966,,0.536,0.33,-68.34372,0.91713,790,27,,0.512,0.627
david mckinley,David McKinley ,Rep,03-Jan-11,RepMcKinley,RepMcKinley,RepMcKinley,RepMcKinley,,116,House,21188,56,1,WV,200,,,"McKINLEY, David",M001180,1947,,0.3,0.178,-138.81922,0.84268,811,57,,0.321,0.322
david price,David Price ,Rep,03-Jan-97,RepDavidEPrice,RepDavidEPrice,RepDavidEPrice,RepDavidEPrice,,116,House,15438,47,4,NC,100,,,"PRICE, David",P000523,1940,,-0.343,-0.03,-16.71297,0.9795,807,6,,-0.38,-0.117
